0,4,11
0,5,75
0,7,68
0,11,84
0,23,31
1,1,34
1,7,23
1,9,3
1,15,17
1,21,55
1,23,74
2,0,99
2,5,34
2,14,24
2,15,17
2,20,31
3,5,82
3,6,79
3,7,68
4,2,21
4,5,35
4,15,36
4,16,11
4,17,80
5,4,39
5,9,38
5,12,17
5,14,51
5,19,50
6,3,1
6,7,3
6,11,10
6,17,99
6,19,78
6,21,21
6,22,99
6,23,46
7,2,14
7,9,90
7,10,8
7,13,20
7,21,8
8,5,78
8,10,97
8,17,53
8,20,7
9,1,4
9,17,23
9,22,39
9,23,66
9,24,63
10,3,54
10,8,61
11,4,1
11,6,64
11,18,77
11,20,7
12,2,69
12,4,95
12,8,9
12,9,1
12,18,84
12,22,42
13,0,85
13,10,72
13,14,85
14,1,96
14,4,82
14,13,43
14,16,22
14,17,70
14,18,51
14,20,82
15,0,60
15,8,17
16,17,73
16,25,99
17,12,33
17,23,60
17,25,9
18,5,47
18,7,15
18,9,60
18,16,9
18,18,18
18,20,14
18,24,25
19,2,35
19,9,41
19,11,60
19,17,78
19,18,94
19,19,30
19,23,16
19,24,71
20,4,92
20,8,7
20,11,89
20,13,2
20,14,25
20,17,9
21,10,94
21,19,28
21,22,39
22,2,6
22,7,57
22,9,15
22,18,9
22,20,18
22,21,54
22,25,61
23,15,73
23,21,27
23,22,80
23,23,56
24,1,92
24,4,84
24,14,38
24,18,47
24,21,86
24,22,78
25,6,89
25,11,88
25,23,27
25,24,90
